,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestclassifier__bootstrap,param_randomforestclassifier__max_depth,param_randomforestclassifier__min_samples_leaf,param_randomforestclassifier__min_samples_split,param_randomforestclassifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
16,18.040865023930866,0.054972354857953036,0.7202223936716715,0.0016112744847873136,True,,5,10,100,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 100}",0.3954154727793696,0.3672574456422437,0.3771613832853026,0.37994476723563864,0.01166273389118866,64
17,34.90503438313802,1.4609171391614064,1.1700982252756755,0.02280750872189437,True,,5,10,200,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 200}",0.3938417472252059,0.3680847179112653,0.3786791098348887,0.38020185832378667,0.010570247931186516,61
18,21.507508675257366,0.3989780950937812,0.6620476245880127,0.009889986935981785,True,20,1,2,100,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 20, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 100}",0.3733039970663733,0.34750186428038776,0.3626031164069661,0.36113632591790906,0.010584615245109242,81
19,42.709945599238075,0.46599968357581856,1.0792644023895264,0.0067473334580826425,True,20,1,2,200,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 20, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 200}",0.374633431085044,0.35184494968319047,0.3650036683785767,0.3638273497156037,0.009340468059232,76
20,17.303450266520183,0.09055507500722375,0.6661659081776937,0.003418978588740103,True,20,1,5,100,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 20, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 100}",0.3715867158671587,0.3540384256668532,0.35964588712652157,0.36175700955351114,0.00731793462049862,79
21,34.05277427037557,0.3861915476643169,1.0625227292378743,0.014038445240300535,True,20,1,5,200,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 20, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 200}",0.3717074967765703,0.3499251497005988,0.3623321684752621,0.36132160498414373,0.008921270087519561,80
22,15.520353396733602,0.2961798471425364,0.6611087322235107,0.01802458854311683,True,20,1,10,100,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 20, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 100}",0.37185375711923574,0.34294328245713207,0.3629329403095063,0.35924332662862474,0.012087564495040512,83
23,30.7675937016805,0.3039345948688087,1.04121994972229,0.0008618961450206792,True,20,1,10,200,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 20, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 200}",0.36935603256846783,0.34569760873658445,0.35812060673325935,0.35772474934610393,0.00966256632078942,84
24,14.754278659820557,0.06000634134633526,0.6420380274454752,0.007736441651423199,True,20,2,2,100,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 20, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 100}",0.3514376996805112,0.33181299885974913,0.3445047743868189,0.34258515764235975,0.008125922179884604,96
25,29.982792139053345,0.2379970503940055,1.0423608620961506,0.045306107261631264,True,20,2,2,200,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 20, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 200}",0.3561797752808989,0.3344112611755754,0.3422138836772983,0.3442683067112575,0.009004907628260771,95
