,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgbclassifier__gamma,param_xgbclassifier__learning_rate,param_xgbclassifier__max_depth,param_xgbclassifier__min_child_weight,param_xgbclassifier__n_estimators,param_xgbclassifier__reg_lambda,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
18,1.5152173042297363,0.13755789366581392,0.33298206329345703,0.0015028514748137549,0.0,0.01,5,3,200,1,"{'xgbclassifier__gamma': 0, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 5, 'xgbclassifier__min_child_weight': 3, 'xgbclassifier__n_estimators': 200, 'xgbclassifier__reg_lambda': 1}",0.24542651593011305,0.23099173553719007,0.23823286540049546,0.23821703895593285,0.00589298504468033,240
19,1.4842875798543294,0.13324727917779033,0.29325143496195477,0.02858488202361137,0.0,0.01,5,3,200,10,"{'xgbclassifier__gamma': 0, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 5, 'xgbclassifier__min_child_weight': 3, 'xgbclassifier__n_estimators': 200, 'xgbclassifier__reg_lambda': 10}",0.2330702118820108,0.22360764754779716,0.228595178719867,0.22842434604989167,0.00386496388906211,245
20,0.813660462697347,0.023572414653314472,0.18038145701090494,0.008507490886001312,0.0,0.01,5,5,100,1,"{'xgbclassifier__gamma': 0, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 5, 'xgbclassifier__min_child_weight': 5, 'xgbclassifier__n_estimators': 100, 'xgbclassifier__reg_lambda': 1}",0.0,0.0,0.0,0.0,0.0,285
21,0.7904992898305258,0.004276867193136868,0.16144665082295737,0.005975097509785911,0.0,0.01,5,5,100,10,"{'xgbclassifier__gamma': 0, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 5, 'xgbclassifier__min_child_weight': 5, 'xgbclassifier__n_estimators': 100, 'xgbclassifier__reg_lambda': 10}",0.0,0.0,0.0,0.0,0.0,285
22,1.342044512430827,0.0052393318014583735,0.2822224299112956,0.001983237161430837,0.0,0.01,5,5,200,1,"{'xgbclassifier__gamma': 0, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 5, 'xgbclassifier__min_child_weight': 5, 'xgbclassifier__n_estimators': 200, 'xgbclassifier__reg_lambda': 1}",0.24722792607802874,0.22943365026870607,0.2400990099009901,0.23892019541590828,0.007312148137961485,237
23,1.2450517018636067,0.04537756006941769,0.2647260824839274,0.010135851757007453,0.0,0.01,5,5,200,10,"{'xgbclassifier__gamma': 0, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 5, 'xgbclassifier__min_child_weight': 5, 'xgbclassifier__n_estimators': 200, 'xgbclassifier__reg_lambda': 10}",0.2302248126561199,0.2273387264053101,0.2260616153205662,0.22787505146066542,0.0017414144514238535,248
24,1.0072619120279949,0.012406888717642714,0.21335840225219727,0.004930948848318816,0.0,0.01,7,1,100,1,"{'xgbclassifier__gamma': 0, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 7, 'xgbclassifier__min_child_weight': 1, 'xgbclassifier__n_estimators': 100, 'xgbclassifier__reg_lambda': 1}",0.06582633053221289,0.07157796885893562,0.10242341106538637,0.0799425701521783,0.016068841318611703,258
25,0.9907537301381429,0.005592016337913595,0.19974247614542642,0.010086849959027458,0.0,0.01,7,1,100,10,"{'xgbclassifier__gamma': 0, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 7, 'xgbclassifier__min_child_weight': 1, 'xgbclassifier__n_estimators': 100, 'xgbclassifier__reg_lambda': 10}",0.03700189753320683,0.03512936150011868,0.04169628050225065,0.03794251317852539,0.0027622062002807383,264
26,1.6410148938496907,0.003459732396570228,0.3986359437306722,0.0493125083866302,0.0,0.01,7,1,200,1,"{'xgbclassifier__gamma': 0, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 7, 'xgbclassifier__min_child_weight': 1, 'xgbclassifier__n_estimators': 200, 'xgbclassifier__reg_lambda': 1}",0.31942557733359206,0.3059556247567147,0.3033620015637217,0.30958106788467615,0.007041188111588081,217
27,1.5650993982950847,0.0464845548100028,0.3367760181427002,0.019931748711842043,0.0,0.01,7,1,200,10,"{'xgbclassifier__gamma': 0, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 7, 'xgbclassifier__min_child_weight': 1, 'xgbclassifier__n_estimators': 200, 'xgbclassifier__reg_lambda': 10}",0.3023117960877297,0.29367883784844917,0.2840751730959446,0.2933552690107078,0.007448584972135938,226
